序号,作品名,分类,可体验,特色简介,技术方案,是否已评论,业务价值,有价值评论
1,【新功能上线】毒舌哲学家,生活娱乐,是,,,否,,
2,AI狼人杀,生活娱乐,是,,,否,,
3,AIQuant,金融理财,是,,,否,,
4,全年大促羊毛助手,电商零售,是,,,否,,
5,丸蛋！我被美女苞涠了,生活娱乐,是,,,否,,
6,鹅厂币神,金融理财,是,,,否,,
7,在灵境，你是造物主-分支游戏,生活娱乐,是,,,否,,
8,鹅也会,办公协作,是,,,否,,
9,Course Tracker,生活娱乐,是,,,否,,
10,【已开源】不一样的思维导图,办公协作,是,,,否,,
11,今天聚会玩什么好呢,生活娱乐,是,,,否,,
12,箭头消消消,生活娱乐,是,一款 HTML5 3D 小游戏，不费脑，带手就可以玩起来！点点点，超解压,Babylon.js 3D引擎 + FastAPI后端 + MySQL + Docker部署,是,休闲解压游戏，PC/手机随时畅玩,"""3D消消乐玩起来确实解压，关卡设计层层递进很有挑战性"""
13,基于多源信息的巴菲特分析智能体,金融理财,是,,,否,,
14,掌心向导,生活娱乐,是,,,否,,
15,直播宝,电商零售,是,,,否,,
16,今天穿什么,生活娱乐,是,,,否,,
17,合成新元素,教育学习,是,元素合成类休闲游戏,,是,寓教于乐，学习化学元素知识,"""元素合成游戏很有创意，边玩边学化学知识"""
18,王者举报客服智能机器人,生活娱乐,是,,,否,,
19,鹅厂今天吃点啥,生活娱乐,是,,,否,,
20,好好说话,办公协作,是,,,否,,
21,网红打造者,生活娱乐,是,,,否,,
22,AI德州扑克,生活娱乐,是,,,否,,
23,神人大冒险：群贤毕至,生活娱乐,是,,,否,,
24,我要铁饭碗,生活娱乐,是,,,否,,
25,智能体编写大师,办公协作,是,,,否,,
26,今天适合打工吗【鹅厂版】,生活娱乐,是,,,否,,
27,乱炖三国,生活娱乐,是,,,否,,
28,答辩的神,办公协作,是,,,否,,
29,工位风水小助手,生活娱乐,是,,,否,,
30,云API MCP生成器,办公协作,是,,,否,,
31,《我要选李白》诗词创作,教育学习,是,,,否,,
32,办公室上上签,生活娱乐,是,,,否,,
33,亚利桑那·阳光,生活娱乐,是,,,否,,
34,深度搜索竞技场,办公协作,是,,,否,,
35,屁屁踢生成助手,办公协作,是,,,否,,
36,内幕交易！？,金融理财,是,,,否,,
37,智析A股,金融理财,是,,,否,,
38,礼遇AI,生活娱乐,是,,,否,,
39,楚门的世界,生活娱乐,是,AI辩论和头脑风暴，从AI互动中获取洞察,多AI角色模拟 + 辩论式推理,是,决策辅助、方案评估,"""AI辩论和头脑风暴的玩法很有创意，从AI互动中获取洞察思路新颖"""
40,明星演唱会Agent,生活娱乐,是,,,否,,
41,中国象棋AlphaGo,生活娱乐,是,,,否,,
42,牛马模拟器2077,生活娱乐,是,,,否,,
43,硅基咖啡馆,生活娱乐,是,,,否,,
44,9·SHOT,生活娱乐,是,,,否,,
45,反诈迷局---今天你炸了吗,生活娱乐,是,,,否,,
46,财政大臣 AI・金库守护计划,金融理财,是,,,否,,
47,我的AI分身,生活娱乐,是,创建个人AI分身进行对话交互,,是,,
48,赛博算命,生活娱乐,是,,,否,,
49,CloudBuddy云端程序员,办公协作,是,,,否,,
50,设计稿转码大师,办公协作,是,,,否,,
